"Datum";"Bezeichnung";"Wochentag";"Kalenderwoche";
"01.01.2022";"Neujahr";"Sa";"Woche 52"
"08.03.2022";"Internationaler<br>Tag der Frau";"Di";"Woche 10"
"15.04.2022";"Karfreitag";"Fr";"Woche 15"
"18.04.2022";"Ostermontag";"Mo";"Woche 16"
"01.05.2022";"Tag der Arbeit";"So";"Woche 17"
"26.05.2022";"Christi<br>Himmelfahrt";"Do";"Woche 21"
"06.06.2022";"Pfingstmontag";"Mo";"Woche 23"
"03.10.2022";"Tag der<br>Deutschen Einheit";"Mo";"Woche 40"
"25.12.2022";"Weihnachten";"So";"Woche 51"
"26.12.2022";"Zweiter<br>Weihnachtsfeiertag";"Mo";"Woche 52"
"01.01.2023";"Neujahr";"So";"Woche 52"
"08.03.2023";"Internationaler<br>Tag der Frau";"Mi";"Woche 10"
"07.04.2023";"Karfreitag";"Fr";"Woche 14"
"10.04.2023";"Ostermontag";"Mo";"Woche 15"
"01.05.2023";"Tag der Arbeit";"Mo";"Woche 18"
"18.05.2023";"Christi<br>Himmelfahrt";"Do";"Woche 20"
"29.05.2023";"Pfingstmontag";"Mo";"Woche 22"
"03.10.2023";"Tag der<br>Deutschen Einheit";"Di";"Woche 40"
"25.12.2023";"Weihnachten";"Mo";"Woche 52"
"26.12.2023";"Zweiter<br>Weihnachtsfeiertag";"Di";"Woche 52"
"01.01.2024";"Neujahr";"Mo";"Bundesweit"
"08.03.2024";"Internationaler<br>Frauentag";"Fr";"Berlin"
"29.03.2024";"Karfreitag";"Fr";"Bundesweit"
"01.04.2024";"Ostermontag";"Mo";"Bundesweit"
"01.05.2024";"Tag der Arbeit";"Mi";"Bundesweit"
"09.05.2024";"Christi<br>Himmelfahrt";"Do";"Bundesweit"
"20.05.2024";"Pfingstmontag";"Mo";"Bundesweit"
"03.10.2024";"Tag der<br>Deutschen Einheit";"Do";"Bundesweit"
"25.12.2024";"1. Weihnachtstag";"Mi";"Bundesweit"
"26.12.2024";"2. Weihnachtstag";"Do";"Bundesweit"
"01.01.2025";"Neujahr";"Mi";"Bundesweit"
"08.03.2025";"Internationaler<br>Frauentag";"Sa";"Berlin"
"18.04.2025";"Karfreitag";"Fr";"Bundesweit"
"21.04.2025";"Ostermontag";"Mo";"Bundesweit"
"01.05.2025";"Tag der Arbeit";"Do";"Bundesweit"
"29.05.2025";"Christi<br>Himmelfahrt";"Do";"Bundesweit"
"09.06.2025";"Pfingstmontag";"Mo";"Bundesweit"
"03.10.2025";"Tag der<br>Deutschen Einheit";"Fr";"Bundesweit"
"25.12.2025";"1. Weihnachtstag";"Do";"Bundesweit"
"26.12.2025";"2. Weihnachtstag";"Fr";"Bundesweit"
